"id","name","dbpediaResource"
"DB00162","Vitamin A","Vitamin_A"
"DB00163","Vitamin E","Vitamin_E"
"DB00165","Pyridoxine","Pyridoxine"
"DB00166","Lipoic Acid","Lipoic_Acid"
"DB00167","L-Isoleucine",""
"DB00168","Aspartame","Aspartame"
"DB00169","Cholecalciferol","Cholecalciferol"
"DB00170","Menadione","Menadione"
"DB00171","Adenosine triphosphate","Adenosine_triphosphate"
"DB00172","L-Proline","L-Proline"
"DB00173","Adenine","Adenine"
"DB00174","L-Asparagine",""
"DB00175","Pravastatin","Pravastatin"
"DB00176","Fluvoxamine","Fluvoxamine"
"DB00177","Valsartan","Valsartan"
"DB00178","Ramipril","Ramipril"
"DB00179","Masoprocol","Masoprocol"
"DB00180","Flunisolide","Flunisolide"
"DB00181","Baclofen","Baclofen"
"DB00182","Amphetamine","Amphetamine"
"DB00183","Pentagastrin","Pentagastrin"
"DB00184","Nicotine","Nicotine"
"DB00185","Cevimeline","Cevimeline"
"DB00186","Lorazepam","Lorazepam"
"DB00187","Esmolol","Esmolol"
"DB00188","Bortezomib","Bortezomib"
"DB00189","Ethchlorvynol","Ethchlorvynol"
"DB00190","Carbidopa","Carbidopa"
"DB00191","Phentermine","Phentermine"
"DB00192","Indecainide",""
"DB00193","Tramadol","Tramadol"
"DB00194","Vidarabine","Vidarabine"
"DB00195","Betaxolol","Betaxolol"
"DB00196","Fluconazole","Fluconazole"
"DB00197","Troglitazone","Troglitazone"
"DB00198","Oseltamivir","Oseltamivir"
"DB00199","Erythromycin","Erythromycin"
"DB00200","Hydroxocobalamin","Hydroxocobalamin"
"DB00201","Caffeine","Caffeine"
"DB00202","Succinylcholine","Succinylcholine"
"DB00203","Sildenafil","Sildenafil"
"DB00204","Dofetilide","Dofetilide"
"DB00205","Pyrimethamine","Pyrimethamine"
"DB00206","Reserpine","Reserpine"
"DB00207","Azithromycin","Azithromycin"
"DB00208","Ticlopidine","Ticlopidine"
"DB00209","Trospium","Trospium"
"DB00210","Adapalene","Adapalene"
"DB00211","Midodrine","Midodrine"
"DB00212","Remikiren","Remikiren"
"DB00213","Pantoprazole","Pantoprazole"
"DB00214","Torasemide","Torasemide"
"DB00215","Citalopram","Citalopram"
"DB00216","Eletriptan","Eletriptan"
"DB00217","Bethanidine",""
"DB00218","Moxifloxacin","Moxifloxacin"
"DB00219","Oxyphenonium",""
"DB00220","Nelfinavir","Nelfinavir"
"DB00221","Isoetharine","Isoetharine"
"DB00222","Glimepiride","Glimepiride"
"DB00223","Diflorasone","Diflorasone"
"DB00224","Indinavir","Indinavir"
"DB00225","Gadodiamide","Gadodiamide"
"DB00226","Guanadrel Sulfate",""
"DB00227","Lovastatin","Lovastatin"
"DB00228","Enflurane","Enflurane"
"DB00229","Cefotiam","Cefotiam"
"DB00230","Pregabalin","Pregabalin"
"DB00231","Temazepam","Temazepam"
"DB00232","Methyclothiazide",""
"DB00233","Aminosalicylic Acid","Aminosalicylic_acid"
"DB00234","Reboxetine","Reboxetine"
"DB00235","Milrinone","Milrinone"
"DB00236","Pipobroman","Pipobroman"
"DB00237","Butabarbital","Butabarbital"
"DB00238","Nevirapine","Nevirapine"
"DB00239","Oxiconazole","Oxiconazole"
"DB00240","Alclometasone","Alclometasone"
"DB00241","Butalbital","Butalbital"
"DB00242","Cladribine","Cladribine"
"DB00243","Ranolazine","Ranolazine"
"DB00244","Mesalazine","Mesalazine"
"DB00245","Benztropine","Benztropine"
"DB00246","Ziprasidone","Ziprasidone"
"DB00247","Methysergide","Methysergide"
"DB00248","Cabergoline","Cabergoline"
"DB00249","Idoxuridine","Idoxuridine"
"DB00250","Dapsone","Dapsone"
"DB00251","Terconazole","Terconazole"
"DB00252","Phenytoin","Phenytoin"
"DB00253","Medrysone","Medrysone"
"DB00254","Doxycycline","Doxycycline"
"DB00255","Diethylstilbestrol","Diethylstilbestrol"
"DB00256","Lymecycline","Lymecycline"
"DB00257","Clotrimazole","Clotrimazole"
"DB00258","Calcium Acetate","Calcium_Acetate"
"DB00259","Sulfanilamide","Sulfanilamide"
"DB00260","Cycloserine","Cycloserine"
"DB00261","Anagrelide","Anagrelide"
"DB00262","Carmustine","Carmustine"
"DB00263","Sulfisoxazole","Sulfisoxazole"
"DB00264","Metoprolol","Metoprolol"
"DB00265","Crotamiton","Crotamiton"
"DB00266","Dicumarol","Dicumarol"
"DB00267","Cefmenoxime","Cefmenoxime"
"DB00268","Ropinirole","Ropinirole"
"DB00269","Chlorotrianisene","Chlorotrianisene"
"DB00270","Isradipine","Isradipine"
"DB00271","Diatrizoate","Diatrizoate"
"DB00272","Betazole","Betazole"
"DB00273","Topiramate","Topiramate"
"DB00274","Cefmetazole","Cefmetazole"
"DB00275","Olmesartan","Olmesartan"
"DB00276","Amsacrine","Amsacrine"
"DB00277","Theophylline","Theophylline"
"DB00278","Argatroban","Argatroban"
"DB00279","Liothyronine","Liothyronine"
"DB00280","Disopyramide","Disopyramide"
"DB00281","Lidocaine","Lidocaine"
"DB00282","Pamidronate","Pamidronate"
"DB00283","Clemastine","Clemastine"
"DB00284","Acarbose","Acarbose"
"DB00285","Venlafaxine","Venlafaxine"
"DB00286","Conjugated Estrogens",""
"DB00287","Travoprost","Travoprost"
"DB00288","Amcinonide","Amcinonide"
"DB00289","Atomoxetine","Atomoxetine"
"DB00290","Bleomycin","Bleomycin"
"DB00291","Chlorambucil","Chlorambucil"
"DB00292","Etomidate","Etomidate"
"DB00293","Raltitrexed","Raltitrexed"
"DB00294","Etonogestrel","Etonogestrel"
"DB00295","Morphine","Morphine"
"DB00296","Ropivacaine","Ropivacaine"
"DB00297","Bupivacaine","Bupivacaine"
"DB00298","Dapiprazole","Dapiprazole"
"DB00299","Penciclovir","Penciclovir"
"DB00300","Tenofovir","Tenofovir"
"DB00301","Flucloxacillin","Flucloxacillin"
"DB00302","Tranexamic Acid","Tranexamic_acid"
"DB00303","Ertapenem","Ertapenem"
"DB00304","Desogestrel","Desogestrel"
"DB00305","Mitomycin","Mitomycin"
"DB00306","Talbutal","Talbutal"
"DB00307","Bexarotene","Bexarotene"
"DB00308","Ibutilide","Ibutilide"
"DB00309","Vindesine","Vindesine"
"DB00310","Chlorthalidone","Chlorthalidone"
"DB00311","Ethoxzolamide","Ethoxzolamide"
"DB00312","Pentobarbital","Pentobarbital"
"DB00313","Valproic Acid","Valproic_Acid"
"DB00314","Capreomycin","Capreomycin"
"DB00315","Zolmitriptan","Zolmitriptan"
"DB00316","Acetaminophen","Acetaminophen"
"DB00317","Gefitinib","Gefitinib"
"DB00318","Codeine","Codeine"
"DB00319","Piperacillin","Piperacillin"
"DB00320","Dihydroergotamine","Dihydroergotamine"
"DB00321","Amitriptyline","Amitriptyline"
"DB00322","Floxuridine","Floxuridine"
"DB00323","Tolcapone","Tolcapone"
"DB00324","Fluorometholone","Fluorometholone"
"DB00325","Nitroprusside","Nitroprusside"
"DB00326","Calcium Gluceptate",""
"DB00327","Hydromorphone","Hydromorphone"
"DB00328","Indomethacin","Indomethacin"
"DB00330","Ethambutol","Ethambutol"
"DB00331","Metformin","Metformin"
"DB00332","Ipratropium","Ipratropium"
"DB00333","Methadone","Methadone"
"DB00334","Olanzapine","Olanzapine"
"DB00335","Atenolol","Atenolol"
"DB00336","Nitrofurazone","Nitrofurazone"
"DB00337","Pimecrolimus","Pimecrolimus"
"DB00338","Omeprazole","Omeprazole"
"DB00339","Pyrazinamide","Pyrazinamide"
"DB00340","Metixene","Metixene"
"DB00341","Cetirizine","Cetirizine"
"DB00342","Terfenadine","Terfenadine"
"DB00343","Diltiazem","Diltiazem"
"DB00344","Protriptyline","Protriptyline"
"DB00345","Aminohippurate","Para-Aminohippurate"
"DB00346","Alfuzosin","Alfuzosin"
"DB00347","Trimethadione","Trimethadione"
"DB00348","Nitisinone","Nitisinone"
"DB00349","Clobazam","Clobazam"
"DB00350","Minoxidil","Minoxidil"
"DB00351","Megestrol","Megestrol"
"DB00352","Thioguanine","Thioguanine"
"DB00353","Methylergonovine","Methylergonovine"
"DB00354","Buclizine","Buclizine"
"DB00355","Aztreonam","Aztreonam"
"DB00356","Chlorzoxazone","Chlorzoxazone"
"DB00357","Aminoglutethimide","Aminoglutethimide"
"DB00358","Mefloquine","Mefloquine"
"DB00359","Sulfadiazine","Sulfadiazine"
"DB00360","Tetrahydrobiopterin","Tetrahydrobiopterin"
"DB00361","Vinorelbine","Vinorelbine"
"DB00362","Anidulafungin","Anidulafungin"
"DB00363","Clozapine","Clozapine"
"DB00364","Sucralfate","Sucralfate"
"DB00365","Grepafloxacin","Grepafloxacin"
"DB00366","Doxylamine","Doxylamine"
"DB00367","Levonorgestrel","Levonorgestrel"
"DB00368","Norepinephrine","Norepinephrine"
"DB00369","Cidofovir","Cidofovir"
"DB00370","Mirtazapine","Mirtazapine"
"DB00371","Meprobamate","Meprobamate"
"DB00372","Thiethylperazine","Thiethylperazine"
"DB00373","Timolol","Timolol"
"DB00374","Treprostinil","Treprostinil"
"DB00375","Colestipol","Colestipol"
"DB00376","Trihexyphenidyl","Trihexyphenidyl"
"DB00377","Palonosetron","Palonosetron"
"DB00378","Dydrogesterone","Dydrogesterone"
"DB00379","Mexiletine","Mexiletine"
"DB00380","Dexrazoxane","Dexrazoxane"
"DB00381","Amlodipine","Amlodipine"
"DB00382","Tacrine","Tacrine"
"DB00383","Oxyphencyclimine",""
"DB00384","Triamterene","Triamterene"
"DB00385","Valrubicin","Valrubicin"
"DB00386","Alseroxylon",""
"DB00387","Procyclidine","Procyclidine"
"DB00388","Phenylephrine","Phenylephrine"
"DB00389","Carbimazole","Carbimazole"
"DB00390","Digoxin","Digoxin"
"DB00391","Sulpiride","Sulpiride"
"DB00392","Ethopropazine","Ethopropazine"
"DB00393","Nimodipine","Nimodipine"
"DB00394","Beclomethasone","Beclomethasone"
"DB00395","Carisoprodol","Carisoprodol"
"DB00396","Progesterone","Progesterone"
"DB00397","Phenylpropanolamine","Phenylpropanolamine"
"DB00398","Sorafenib","Sorafenib"
"DB00399","Zoledronate","Zoledronate"
"DB00400","Griseofulvin","Griseofulvin"
"DB00401","Nisoldipine","Nisoldipine"
"DB00402","Eszopiclone","Eszopiclone"
"DB00403","Ceruletide",""
"DB00404","Alprazolam","Alprazolam"
"DB00405","Dexbrompheniramine","Dexbrompheniramine"
"DB00406","Gentian Violet","Gentian_Violet"
"DB00407","Ardeparin","Ardeparin"
"DB00408","Loxapine","Loxapine"
"DB00409","Remoxipride","Remoxipride"
"DB00410","Mupirocin","Mupirocin"
"DB00411","Carbachol","Carbachol"
"DB00412","Rosiglitazone","Rosiglitazone"
"DB00413","Pramipexole","Pramipexole"
"DB00414","Acetohexamide","Acetohexamide"
"DB00415","Ampicillin","Ampicillin"
"DB00416","Metocurine Iodide",""
"DB00417","Penicillin V","Penicillin_V"
"DB00418","Secobarbital","Secobarbital"
"DB00419","Miglustat","Miglustat"
"DB00420","Promazine","Promazine"
"DB00421","Spironolactone","Spironolactone"
"DB00422","Methylphenidate","Methylphenidate"
"DB00423","Methocarbamol","Methocarbamol"
"DB00424","Hyoscyamine","Hyoscyamine"
"DB00425","Zolpidem","Zolpidem"
"DB00426","Famciclovir","Famciclovir"
"DB00427","Triprolidine","Triprolidine"
"DB00428","Streptozocin","Streptozocin"
"DB00429","Carboprost Tromethamine",""
"DB00430","Cefpiramide","Cefpiramide"
"DB00431","Lindane","Lindane"
"DB00432","Trifluridine","Trifluridine"
"DB00433","Prochlorperazine","Prochlorperazine"
"DB00434","Cyproheptadine","Cyproheptadine"
"DB00435","Nitric Oxide","Nitric_Oxide"
"DB00436","Bendroflumethiazide","Bendroflumethiazide"
"DB00437","Allopurinol","Allopurinol"
"DB00438","Ceftazidime","Ceftazidime"
"DB00439","Cerivastatin","Cerivastatin"
"DB00440","Trimethoprim","Trimethoprim"
"DB00441","Gemcitabine","Gemcitabine"
"DB00442","Entecavir","Entecavir"
"DB00443","Betamethasone","Betamethasone"
"DB00444","Teniposide","Teniposide"
"DB00445","Epirubicin","Epirubicin"
"DB00446","Chloramphenicol","Chloramphenicol"
"DB00447","Loracarbef","Loracarbef"
"DB00448","Lansoprazole","Lansoprazole"
"DB00449","Dipivefrin","Dipivefrin"
"DB00450","Droperidol","Droperidol"
"DB00451","Levothyroxine","Levothyroxine"
"DB00452","Framycetin",""
"DB00453","Clomocycline","Clomocycline"
"DB00454","Meperidine","Meperidine"
"DB00455","Loratadine","Loratadine"
"DB00456","Cefalotin","Cefalotin"
"DB00457","Prazosin","Prazosin"
"DB00458","Imipramine","Imipramine"
"DB00459","Acitretin","Acitretin"
"DB00460","Verteporfin","Verteporfin"
"DB00461","Nabumetone","Nabumetone"
"DB00462","Methylscopolamine","Methylscopolamine"
"DB00463","Metharbital","Metharbital"
"DB00464","Sodium Tetradecyl Sulfate",""
"DB00465","Ketorolac","Ketorolac"
"DB00466","Picrotoxin","Picrotoxin"
"DB00467","Enoxacin","Enoxacin"
"DB00468","Quinine","Quinine"
"DB00469","Tenoxicam",""
"DB00470","Marinol","Marinol"
"DB00471","Montelukast","Montelukast"
"DB00472","Fluoxetine","Fluoxetine"
"DB00473","Hexylcaine","Hexylcaine"
"DB00474","Methohexital","Methohexital"
"DB00475","Chlordiazepoxide","Chlordiazepoxide"
"DB00476","Duloxetine","Duloxetine"
"DB00477","Chlorpromazine","Chlorpromazine"
"DB00478","Rimantadine","Rimantadine"
"DB00479","Amikacin","Amikacin"
"DB00480","Lenalidomide","Lenalidomide"
"DB00481","Raloxifene","Raloxifene"
"DB00482","Celecoxib","Celecoxib"
"DB00483","Gallamine Triethiodide",""
"DB00484","Brimonidine","Brimonidine"
"DB00485","Dicloxacillin","Dicloxacillin"
"DB00486","Nabilone","Nabilone"
"DB00487","Pefloxacin","Pefloxacin"
"DB00488","Altretamine","Altretamine"
"DB00489","Sotalol","Sotalol"
"DB00490","Buspirone","Buspirone"
"DB00491","Miglitol","Miglitol"
"DB00492","Fosinopril","Fosinopril"
"DB00493","Cefotaxime","Cefotaxime"
"DB00494","Entacapone","Entacapone"
"DB00495","Zidovudine","Zidovudine"
"DB00496","Darifenacin","Darifenacin"
"DB00497","Oxycodone","Oxycodone"
"DB00498","Phenindione","Phenindione"
"DB00499","Flutamide","Flutamide"
"DB00500","Tolmetin","Tolmetin"
"DB00501","Cimetidine","Cimetidine"
"DB00502","Haloperidol","Haloperidol"
"DB00503","Ritonavir","Ritonavir"
"DB00504","Levallorphan",""
"DB00505","Tridihexethyl",""
"DB00506","Norgestrel","Norgestrel"
"DB00507","Nitazoxanide","Nitazoxanide"
"DB00508","Triflupromazine","Triflupromazine"
"DB00509","Dextrothyroxine","Dextrothyroxine"
"DB00510","Divalproex sodium","Divalproex_sodium"
"DB00511","Acetyldigitoxin","Acetyldigitoxin"
"DB00512","Vancomycin","Vancomycin"
"DB00513","Aminocaproic Acid","Aminocaproic_acid"
"DB00514","Dextromethorphan","Dextromethorphan"
"DB00515","Cisplatin","Cisplatin"
"DB00516","Bentoquatam","Bentoquatam"
"DB00517","Anisotropine Methylbromide",""
"DB00518","Albendazole","Albendazole"
"DB00519","Trandolapril","Trandolapril"
"DB00520","Caspofungin","Caspofungin"
"DB00521","Carteolol","Carteolol"
"DB00522","Bentiromide","Bentiromide"
"DB00523","Alitretinoin","Alitretinoin"
"DB00524","Metolazone","Metolazone"
"DB00525","Tolnaftate","Tolnaftate"
"DB00526","Oxaliplatin","Oxaliplatin"
"DB00527","Dibucaine","Dibucaine"
"DB00528","Lercanidipine","Lercanidipine"
"DB00529","Foscarnet","Foscarnet"
"DB00530","Erlotinib","Erlotinib"
"DB00531","Cyclophosphamide","Cyclophosphamide"
"DB00532","Mephenytoin","Mephenytoin"
"DB00533","Rofecoxib","Rofecoxib"
"DB00534","Chlormerodrin",""
"DB00535","Cefdinir","Cefdinir"
"DB00536","Guanidine","Guanidine"
"DB00537","Ciprofloxacin","Ciprofloxacin"
"DB00538","Gadoversetamide","Gadoversetamide"
"DB00539","Toremifene","Toremifene"
"DB00540","Nortriptyline","Nortriptyline"
"DB00541","Vincristine","Vincristine"
"DB00542","Benazepril","Benazepril"
"DB00543","Amoxapine","Amoxapine"
"DB00544","Fluorouracil","Fluorouracil"
"DB00545","Pyridostigmine","Pyridostigmine"
"DB00546","Adinazolam","Adinazolam"
"DB00547","Desoximetasone","Desoximetasone"
"DB00548","Azelaic Acid",""
"DB00549","Zafirlukast","Zafirlukast"
"DB00550","Propylthiouracil","Propylthiouracil"
"DB00551","Acetohydroxamic Acid","Acetohydroxamic_acid"
"DB00552","Pentostatin","Pentostatin"
"DB00553","Methoxsalen","Methoxsalen"
"DB00554","Piroxicam","Piroxicam"
"DB00555","Lamotrigine","Lamotrigine"
"DB00556","Perflutren",""
"DB00557","Hydroxyzine","Hydroxyzine"
"DB00558","Zanamivir","Zanamivir"
"DB00559","Bosentan","Bosentan"
"DB00560","Tigecycline","Tigecycline"
"DB00561","Doxapram","Doxapram"
"DB00562","Benzthiazide",""
"DB00563","Methotrexate","Methotrexate"
"DB00564","Carbamazepine","Carbamazepine"
"DB00565","Cisatracurium Besylate",""
"DB00566","Succimer","Succimer"
"DB00567","Cephalexin","Cephalexin"
"DB00568","Cinnarizine","Cinnarizine"
"DB00569","Fondaparinux sodium","Fondaparinux_sodium"
"DB00570","Vinblastine","Vinblastine"
"DB00571","Propranolol","Propranolol"
"DB00572","Atropine","Atropine"
"DB00573","Fenoprofen","Fenoprofen"
"DB00574","Fenfluramine","Fenfluramine"
"DB00575","Clonidine","Clonidine"
"DB00576","Sulfamethizole","Sulfamethizole"
"DB00577","Valaciclovir","Valaciclovir"
"DB00578","Carbenicillin","Carbenicillin"
"DB00579","Mazindol","Mazindol"
"DB00580","Valdecoxib","Valdecoxib"
"DB00581","Lactulose","Lactulose"
"DB00582","Voriconazole","Voriconazole"
"DB00583","L-Carnitine","L-Carnitine"
"DB00584","Enalapril","Enalapril"
"DB00585","Nizatidine","Nizatidine"
"DB00586","Diclofenac","Diclofenac"
"DB00587","Cinalukast",""
"DB00588","Fluticasone Propionate",""
"DB00589","Lisuride","Lisuride"
"DB00590","Doxazosin","Doxazosin"
"DB00591","Fluocinolone Acetonide","Fluocinolone_acetonide"
"DB00592","Piperazine","Piperazine"
"DB00593","Ethosuximide","Ethosuximide"
"DB00594","Amiloride","Amiloride"
"DB00595","Oxytetracycline","Oxytetracycline"
"DB00596","Halobetasol Propionate",""
"DB00597","Gadoteridol",""
"DB00598","Labetalol","Labetalol"
"DB00599","Thiopental","Thiopental"
"DB00600","Monobenzone","Monobenzone"
"DB00601","Linezolid","Linezolid"
"DB00602","Ivermectin","Ivermectin"
"DB00603","Medroxyprogesterone","Medroxyprogesterone"
"DB00604","Cisapride","Cisapride"
"DB00605","Sulindac","Sulindac"
"DB00606","Cyclothiazide",""
"DB00607","Nafcillin","Nafcillin"
"DB00608","Chloroquine","Chloroquine"
"DB00609","Ethionamide","Ethionamide"
"DB00610","Metaraminol","Metaraminol"
"DB00611","Butorphanol","Butorphanol"
"DB00612","Bisoprolol","Bisoprolol"
"DB00613","Amodiaquine","Amodiaquine"
"DB00614","Furazolidone","Furazolidone"
"DB00615","Rifabutin","Rifabutin"
"DB00616","Candoxatril",""
"DB00617","Paramethadione","Paramethadione"
"DB00618","Demeclocycline","Demeclocycline"
"DB00619","Imatinib","Imatinib"
"DB00620","Triamcinolone","Triamcinolone"
"DB00621","Oxandrolone","Oxandrolone"
"DB00622","Nicardipine","Nicardipine"
"DB00623","Fluphenazine","Fluphenazine"
"DB00624","Testosterone","Testosterone"
"DB00625","Efavirenz","Efavirenz"
"DB00626","Bacitracin","Bacitracin"
"DB00627","Niacin","Niacin"
"DB00628","Clorazepate","Clorazepate"
"DB00629","Guanabenz","Guanabenz"
"DB00630","Alendronate","Alendronate"
"DB00631","Clofarabine","Clofarabine"
"DB00632","Docosanol","Docosanol"
"DB00633","Dexmedetomidine","Dexmedetomidine"
"DB00634","Sulfacetamide","Sulfacetamide"
"DB00635","Prednisone","Prednisone"
"DB00636","Clofibrate","Clofibrate"
"DB00637","Astemizole","Astemizole"
"DB00638","Inulin","Inulin"
"DB00639","Butoconazole","Butoconazole"
"DB00640","Adenosine","Adenosine"
"DB00641","Simvastatin","Simvastatin"
"DB00642","Pemetrexed","Pemetrexed"
"DB00643","Mebendazole","Mebendazole"
"DB00644","Gonadorelin","Gonadorelin"
"DB00645","Dyclonine","Dyclonine"
"DB00646","Nystatin","Nystatin"
"DB00647","Propoxyphene","Propoxyphene"
"DB00648","Mitotane","Mitotane"
"DB00649","Stavudine","Stavudine"
"DB00650","Leucovorin","Leucovorin"
"DB00651","Dyphylline",""
"DB00652","Pentazocine","Pentazocine"
"DB00653","Magnesium Sulfate","Magnesium_Sulfate"
