"id","name","fullName","activeIngridient","activeMoiety","routeOfAdministration","drugbank_id","genericMedicine","representedOrganization"
63,"Paroxetine Hydrochloride","Paroxetine Hydrochloride (Suspension)","paroxetine hydrochloride","paroxetine","Oral","","paroxetine hydrochloride","Apotex Corp."
64,"Heparin Sodium","Heparin Sodium (Injection, Solution)","Heparin Sodium","Heparin","Intravenous","","Heparin Sodium","Hospira, Inc."
65,"Levocarnitine","Levocarnitine (Injection)","levocarnitine","levocarnitine","Intravenous","","Levocarnitine","Bedford Laboratories"
66,"Aminosyn-HF","Aminosyn-HF (Injection, Solution)","Isoleucine","Isoleucine","Intravenous","","Isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, valine, alanine, arginine, glycine, histidine, proline, serine and cysteine hydrochloride","HOSPIRA, INC."
67,"SPORANOX","SPORANOX (Kit)","itraconazole","itraconazole","Intravenous","DB01167","itraconazole","Ortho Biotech Products, L.P."
68,"Temodar","Temodar (Capsule)","Temozolomide","Temozolomide","Oral","DB00853","Temozolomide","Schering Corporation"
69,"GLYCOPYRROLATE","GLYCOPYRROLATE (Tablet)","GLYCOPYRROLATE","GLYCOPYRROLATE","Oral","DB00986","GLYCOPYRROLATE","COREPHARMA LLC."
70,"Coly-Mycin","Coly-Mycin (Injection)","colistimethate sodium","colistimethate","Intramuscular","DB01111","colistimethate","Monarch Pharmaceuticals, Inc."
71,"Citalopram Hydrobromide","Citalopram Hydrobromide (Tablet)","CITALOPRAM HYDROBROMIDE","CITALOPRAM","Oral","","Citalopram Hydrobromide","TORRENT PHARMA INC."
72,"Promethazine Hydrochloride","Promethazine Hydrochloride (Suppository)","Promethazine Hydrochloride","Promethazine","Rectal","","Promethazine Hydrochloride","Perrigo New York, Inc."
73,"Carbastat","Carbastat (Injection, Solution)","Carbachol","Carbachol","Intraocular","DB00411","Carbachol","Novartis Ophthalmics"
74,"Verapamil Hydrochloride","Verapamil Hydrochloride (Capsule, Extended Release)","Verapamil Hydrochloride","Verapamil","Oral","","Verapamil Hydrochloride","Mylan Pharmaceuticals Inc."
75,"Trecator","Trecator (Tablet, Film Coated)","ethionamide","ethionamide","Oral","DB00609","ethionamide","Wyeth Pharmaceuticals, Inc."
76,"ZOVIRAX","ZOVIRAX (Cream)","acyclovir","acyclovir","Topical","","acyclovir","GlaxoSmithKline"
77,"Desoximetasone","Desoximetasone (Gel)","Desoximetasone","Desoximetasone","Topical","DB00547","Desoximetasone","Perrigo New York, Inc."
78,"Fluticasone Propionate","Fluticasone Propionate (Ointment)","fluticasone propionate","fluticasone","Topical","DB00588","Fluticasone Propionate","E. FOUGERA and CO."
79,"Rebetol","Rebetol (Capsule)","Ribavirin","Ribavirin","Oral","DB00811","Ribavirin","Schering Corporation"
80,"Oxcarbazepine","Oxcarbazepine (Tablet, Film Coated)","oxcarbazepine","oxcarbazepine","Oral","DB00776","Oxcarbazepine","Teva Pharmaceuticals USA"
81,"HYDREA","HYDREA (Capsule)","hydroxyurea","hydroxyurea","Oral","DB01005","HYDROXYUREA","Bristol-Myers Squibb"
82,"Dilantin-125","Dilantin-125 (Suspension)","Phenytoin","Phenytoin","Oral","DB00252","Phenytoin","Parke-Davis"
83,"CROMOLYN SODIUM","CROMOLYN SODIUM (Solution)","cromolyn sodium","cromolyn","Ophthalmic","","cromolyn sodium","PACIFIC PHARMA"
84,"Zolpidem Tartrate","Zolpidem Tartrate (Tablet, Coated)","Zolpidem Tartrate","Zolpidem","Oral","","Zolpidem Tartrate","Sandoz Inc."
85,"Permapen","Permapen (Injection, Suspension)","penicillin G benzathine","","Intramuscular","","penicillin G benzathine","Roerig"
86,"Lexiscan","Lexiscan (Injection, Solution)","regadenoson","regadenoson","Intravenous","","regadenoson","Astellas Pharma US, Inc."
87,"Clomipramine Hydrochloride","Clomipramine Hydrochloride (Capsule)","Clomipramine Hydrochloride","Clomipramine","Oral","","Clomipramine Hydrochloride","Teva Pharmaceuticals USA"
88,"INDOCIN","INDOCIN (Powder, For Solution)","Indomethacin","Indomethacin","Intravenous","DB00328","Indomethacin","OVATION Pharmaceuticals"
89,"Tigan","Tigan (Capsule)","trimethobenzamide hydrochloride","trimethobenzamide","Oral","","trimethobenzamide hydrochloride","Monarch Pharmaceuticals, Inc."
90,"SEROQUEL","SEROQUEL (Tablet, Coated)","Quetiapine fumarate","Quetiapine","Oral","","Quetiapine fumarate","AstraZeneca Pharmaceuticals, LP"
91,"Cystadane","Cystadane (Powder, For Solution)","betaine, anhydrous","betaine, anhydrous","Oral","","betaine, anhydrous","Jazz Pharmaceuticals, Inc."
92,"Cleocin Phosphate","Cleocin Phosphate (Injection, Solution)","clindamycin phosphate","clindamycin","Intramuscular","","clindamycin phosphate","Pharmacia&Upjohn, Co."
93,"Mefloquine HCl","Mefloquine HCl (Tablet)","Mefloquine Hydrochloride","Mefloquine","Oral","","Mefloquine Hydrochloride","Sandoz Inc"
94,"ARIXTRA","ARIXTRA (Injection, Solution)","fondaparinux sodium","fondaparinux","Subcutaneous","DB00569","fondaparinux sodium","GlaxoSmithKline"
95,"RIDAURA","RIDAURA (Capsule)","auranofin","auranofin","Oral","DB00995","auranofin","Prometheus Laboratories Inc."
96,"Ipratropium Bromide","Ipratropium Bromide (Spray)","ipratropium bromide","ipratropium cation","Nasal","","Ipratropium Bromide","Roxane"
97,"Bumetanide","Bumetanide (Tablet)","bumetanide","bumetanide","Oral","DB00887","Bumetanide","Sandoz Inc."
98,"Hydralazine Hydrochloride","Hydralazine Hydrochloride (Tablet)","Hydralazine hydrochloride","Hydralazine","Oral","","Hydralazine Hydrochloride","Par Pharmaceutical, Inc."
99,"Prednisolone Acetate","Prednisolone Acetate (Suspension)","prednisolone acetate","prednisolone","Ophthalmic","","prednisolone acetate","FALCON Pharmaceuticals Ltd."
100,"Riomet","Riomet (Solution)","Metformin Hydrochloride","Metformin","Oral","","Metformin Hydrochloride Oral Solution","Ranbaxy Laboratories Inc."
101,"DDAVP","DDAVP (Solution)","desmopressin acetate","desmopressin","Nasal","","desmopressin acetate","sanofi-aventis U.S. LLC"
102,"Potassium Chloride and Dextrose","Potassium Chloride and Dextrose (Injection, Solution)","Dextrose monohydrate","dextrose","Intravenous","","Sodium chloride, Sodium lactate, Potassium Chloride, Calcium chloride and Dextrose monohydrate","Baxter Healthcare Corporation"
103,"Hydroxyzine Pamoate","Hydroxyzine Pamoate (Capsule)","hydroxyzine pamoate","hydroxyzine","Oral","","Hydroxyzine Pamoate","BARR LABORATORIES, INC."
104,"Cefazolin","Cefazolin (Injection, Powder, Lyophilized, For Solution)","Cefazolin Sodium","Cefazolin","Intramuscular","","Cefazolin Sodium","West-Ward Pharmaceutical Corp."
105,"Diclofenac Sodium","Diclofenac Sodium (Solution)","diclofenac sodium","diclofenac","Ophthalmic","","diclofenac sodium","Apotex Corp."
106,"Erythromycin","Erythromycin (Ointment)","ERYTHROMYCIN","ERYTHROMYCIN","Ophthalmic","DB00199","Erythromycin","Bausch&Lomb Incorporated"
107,"NOLVADEX","NOLVADEX (Tablet)","Tamoxifen citrate","Tamoxifen","Oral","","Tamoxifen Citrate","AstraZeneca Pharmaceuticals LP"
108,"COREG CR","COREG CR (Capsule, Extended Release)","carvedilol phosphate","carvedilol","Oral","DB01136","carvedilol","GlaxoSmithKline"
109,"Yaz","Yaz (Kit)","DROSPIRENONE","DROSPIRENONE","Oral","","Drospirenone and ethinyl estradiol","Berlex"
110,"TYZEKA","TYZEKA (Tablet, Film Coated)","telbivudine","telbivudine","Oral","DB01265","telbivudine","Novartis Pharmaceuticals Corporation"
111,"EVOXAC","EVOXAC (Capsule)","cevimeline hydrochloride","cevimeline","Oral","","cevimeline hydrochloride","Daiichi Sankyo Pharma Development"
112,"IQUIX","IQUIX (Solution)","levofloxacin","levofloxacin","Ophthalmic","DB01137","levofloxacin","Santen Inc."
113,"Meloxicam","Meloxicam (Tablet)","MELOXICAM","MELOXICAM","Oral","DB00814","Meloxicam","Lupin Pharmaceuticals, Inc."
114,"Carmol HC","Carmol HC (Cream)","hydrocortisone acetate","hydrocortisone","Topical","","hydrocortisone acetate","Bradley Pharmaceuticals"
115,"Dihydroergotamine Mesylate","Dihydroergotamine Mesylate (Injection)","dihydroergotamine mesylate","dihydroergotamine","Intramuscular","","Dihydroergotamine Mesylate","Bedford Laboratories"
116,"Cimetidine","Cimetidine (Tablet, Film Coated)","Cimetidine","Cimetidine","Oral","DB00501","Cimetidine","Mylan Pharmaceuticals Inc."
117,"FAMOTIDINE","FAMOTIDINE (Tablet, Film Coated)","FAMOTIDINE","FAMOTIDINE","Oral","DB00927","FAMOTIDINE","Dr.Reddy's Laboratories Limited"
118,"INDOCIN","INDOCIN (Suspension)","indomethacin","indomethacin","Oral","DB00328","indomethacin","IROKO Pharmaceuticals, LLC"
119,"Claforan","Claforan (Injection)","cefotaxime sodium","cefotaxime","Intramuscular","","cefotaxime sodium","sanofi-aventis U.S. LLC"
120,"Vinorelbine Tartrate","Vinorelbine Tartrate (Injection, Solution)","vinorelbine tartrate","vinorelbine","Intravenous","","Vinorelbine Tartrate","Mayne Pharma (USA) Inc."
121,"EQUETRO","EQUETRO (Capsule, Extended Release)","carbamazepine","carbamazepine","Oral","DB00564","carbamazepine","Shire US Inc."
122,"Naltrexone Hyrdochloride","Naltrexone Hyrdochloride (Tablet, Film Coated)","Naltrexone Hydrochloride","naltrexone","Oral","","Naltrexone Hydrochloride","Mallinckrodt Inc."
123,"Totect","Totect (Kit)","dexrazoxane hydrochloride","dexrazoxane","Intravenous","","dexrazoxane hydrochloride","TopoTarget A/S"
124,"Cefuroxime and Dextrose","Cefuroxime and Dextrose (Injection)","Cefuroxime sodium","Cefuroxime","Intravenous","","Cefuroxime sodium and Dextrose monohydrate","B. Braun"
125,"Duo-Medihaler","Duo-Medihaler (Aerosol, Metered)","isoproterenol hydrochloride","isoproterenol","Respiratory (inhalation)","","isoproterenol hydrochloride and phenylephrine bitartrate","3M Pharmaceuticals"
126,"Cardene","Cardene (Injection)","nicardipine hydrochloride","nicardipine","Intravenous","","nicardipine hydrochloride","ESP Pharma, Inc."
127,"Exelon","Exelon (Patch, Extended Release)","rivastigmine","rivastigmine","Transdermal","DB00989","rivastigmine","Novartis Pharmaceuticals Corporation"
128,"Ativan","Ativan (Tablet)","lorazepam","lorazepam","Oral","DB00186","lorazepam","Biovail Pharmaceuticals, Inc."
129,"ERTACZO","ERTACZO (Cream)","Sertaconazole nitrate","Sertaconazole nitrate","Topical","","Sertaconazole nitrate","OrthoNeutrogena"
130,"SPECTAZOLE","SPECTAZOLE (Cream)","Econazole nitrate","Econazole","Topical","","Econazole nitrate","Ortho Dermatological, Division of Ortho-McNeil Pharmaceutical, Inc."
131,"Ketoconazole","Ketoconazole (Cream)","Ketoconazole","Ketoconazole","Topical","DB01026","Ketoconazole","TEVA PHARMACEUTICALS USA"
132,"Visken","Visken (Tablet)","pindolol","pindolol","Oral","DB00960","pindolol","Novartis Pharmaceuticals Corporation"
133,"Betamethasone Dipropionate","Betamethasone Dipropionate (Cream)","Betamethasone Dipropionate","Betamethasone","Topical","","Betamethasone Dipropionate","E. FOUGERA&CO."
134,"ZANTAC","ZANTAC (Tablet, Film Coated)","ranitidine hydrochloride","ranitidine","Oral","","ranitidine hydrochloride","GlaxoSmithKline"
135,"Protonix Delayed-Release","Protonix Delayed-Release (Tablet, Delayed Release)","Pantoprazole Sodium","pantoprazole","Oral","","Pantoprazole Sodium","Wyeth Pharmaceuticals, Inc."
136,"ALPRAZOLAM","ALPRAZOLAM (Tablet, Extended Release)","ALPRAZOLAM","ALPRAZOLAM","Oral","DB00404","ALPRAZOLAM","Zydus Pharmaceuticals USA Inc."
137,"paroxetine","paroxetine (Tablet)","paroxetine hydrochloride","paroxetine","Oral","","paroxetine hydrochloride","Apotex Corp."
138,"ORENCIA","ORENCIA (Injection, Powder, Lyophilized, For Solution)","abatacept","abatacept","Intravenous","DB01281","ABATACEPT","Bristol-Myers Squibb"
139,"Polymyxin B","Polymyxin B (Injection, Powder, For Solution)","polymyxin b sulfate","polymyxin b","Intramuscular","DB00781","Polymyxin B sulfate","Bedford Laboratories"
140,"Dextrose","Dextrose (Injection)","Dextrose monohydrate","Dextrose","Intravenous","","Dextrose monohydrate","B. Braun Medical Inc."
141,"Fluphenazine Hydrochloride","Fluphenazine Hydrochloride (Solution, Concentrate)","Fluphenazine Hydrochloride","Fluphenazine","Oral","","Fluphenazine Hydrochloride","Pharmaceutical Associates, Inc."
142,"Cefaclor","Cefaclor (Tablet, Film Coated, Extended Release)","Cefaclor","Cefaclor","Oral","DB00833","Cefaclor","TEVA PHARMACEUTICALS USA"
143,"Aptivus","Aptivus (Capsule)","tipranavir","tipranavir","Oral","DB00932","tipranavir","Boehringer Ingelheim Pharmaceuticals, Inc."
144,"Ribavirin","Ribavirin (Tablet, Film Coated)","RIBAVIRIN","RIBAVIRIN","Oral","DB00811","Ribavirin","Zydus Pharmaceuticals USA Inc."
145,"Sodium Chloride","Sodium Chloride (Injection, Solution)","Sodium Chloride","Sodium Chloride","Intravenous","","Sodium Chloride","Hospira"
146,"Depakote","Depakote (Tablet)","divalproex sodium","valproic acid","Oral","DB00510","divalproex sodium","Abbott Laboratories"
147,"Hycodan","Hycodan (Tablet)","Hydrocodone Bitartrate","hydrocodone","Oral","","Hydrocodone Bitartrate and Homatropine
Methylbromide","Endo Pharmaceuticals Inc."
148,"Citalopram Hydrobromide","Citalopram Hydrobromide (Capsule)","Citalopram Hydrobromide","Citalopram","Oral","","Citalopram Hydrobromide","ALPHAPHARM PTY LTD"
149,"CIPROFLOXACIN","CIPROFLOXACIN (Tablet, Film Coated)","Ciprofloxacin hydrochloride","Ciprofloxacin","Oral","","Ciprofloxacin hydrochloride","Dr Reddy's Laboratories"
150,"Dopamine Hydrochloride and Dextrose","Dopamine Hydrochloride and Dextrose (Injection, Solution)","Dopamine Hydrochloride","Dopamine","Intravenous","","Dopamine Hydrochloride","HOSPIRA, INC."
151,"NIZORAL","NIZORAL (Tablet)","ketoconazole","ketoconazole","Oral","DB01026","ketoconazole","Janssen Pharmaceutical Products, L.P."
152,"Hydrochlorothiazide","Hydrochlorothiazide (Tablet)","Hydrochlorothiazide","Hydrochlorothiazide","Oral","DB00999","Hydrochlorothiazide","Mylan Pharmaceuticals Inc"
153,"Potassium Chloride","Potassium Chloride (Injection, Solution, Concentrate)","Potassium Chloride","Potassium Chloride","Intravenous","DB00761","Potassium Chloride","Baxter Healthcare Corporation"
154,"Aminosyn II","Aminosyn II (Injection, Solution)","Isoleucine","Isoleucine","Intravenous","","Isoleucine, Leucine, Lysine, Methionine, Phenylalanine, Threonine, Tryptophan, Valine, Alanine, Arginine, Aspartic Acid, Glutamic Acid, Histidine, Proline, Serine, N-Acetyl-L-Tyrosine, and Glycine","Hospira, Inc."
155,"Gabapentin","Gabapentin (Capsule)","Gabapentin","Gabapentin","Oral","DB00996","Gabapentin","Ranbaxy Pharmaceuticals Inc."
156,"Phenytoin","Phenytoin (Suspension)","Phenytoin","Phenytoin","Oral","DB00252","Phenytoin","Taro Pharmaceuticals U.S.A., Inc."
157,"Cleviprex","Cleviprex (Emulsion)","clevidipine butyrate","clevidipine butyrate","Intravenous","","clevidipine butyrate","The Medicines Company"
158,"Labetalol Hydrochloride","Labetalol Hydrochloride (Injection)","labetalol hydrochloride","labetalol","Intravenous","","Labetalol Hydrochloride","Bedford Laboratories"
159,"Doxazosin Mesylate","Doxazosin Mesylate (Tablet)","doxazosin mesylate","doxazosin","Oral","","Doxazosin Mesylate","TEVA PHARMACEUTICALS USA"
160,"Mefloquine Hydrochloride","Mefloquine Hydrochloride (Tablet)","mefloquine hydrochloride","mefloquine","Oral","","Mefloquine Hydrochloride","BARR LABORATORIES, INC."
161,"citalopram hydrobromide","citalopram hydrobromide (Tablet, Film Coated)","citalopram hydrobromide","citalopram","Oral","","citalopram hydrobromide","Sandoz Inc."
162,"Cortisporin","Cortisporin (Ointment)","neomycin sulfate","neomycin","Topical","","neomycin sulfate, polymyxin B sulfate, bacitracin zinc and hydrocortisone","Monarch Pharmaceuticals, Inc."
163,"MYCOLOG-II","MYCOLOG-II (Cream)","nystatin","nystatin","Topical","","Nystatin and Triamcinolone Acetonide","Bristol-Myers Squibb Company"
164,"QUIXIN","QUIXIN (Solution)","levofloxacin","levofloxacin","Ophthalmic","DB01137","levofloxacin","VISTAKON Pharmaceuticals, LLC"
165,"Halotestin","Halotestin (Tablet)","fluoxymesterone","fluoxymesterone","Oral","DB01185","fluoxymesterone","Pharmacia and Upjohn Company"
166,"Diazepam","Diazepam (Injection, Solution)","Diazepam","Diazepam","Intramuscular","DB00829","Diazepam","Hospira, Inc."
167,"Benazepril Hydrochloride","Benazepril Hydrochloride (Tablet)","Benazepril Hydrochloride","benazepril","Oral","","Benazepril Hydrochloride","Aurobindo Pharma Limited"
168,"Methylin","Methylin (Tablet)","Methylphenidate Hydrochloride","Methylphenidate","Oral","","methylphenidate Hydrochloride","Alliant Pharmaceuticals, Inc."
169,"BANZEL","BANZEL (Tablet, Film Coated)","rufinamide","rufinamide","Oral","","rufinamide","Eisai Inc."
170,"Micronase","Micronase (Tablet)","glyburide","glyburide","Oral","","glyburide","Pharmacia and Upjohn Company"
171,"Idamycin PFS","Idamycin PFS (Solution)","idarubicin hydrochloride","idarubicin","Intravenous","","idarubicin hydrochloride","Pharmacia and Upjohn Co."
